x,y,fire,year
42,363,1,2010
43,363,1.58929,2010
44,363,2.0266,2010
45,363,3.03571,2010
42,362,2.86842,2010
43,362,2.81395,2010
44,362,2.77419,2010
45,362,2.95556,2010
42,361,2.92453,2010
43,361,2.86508,2010
44,361,2.82432,2010
45,361,3,2010
43,360,1.21951,2010
44,360,1.01639,2010
45,360,1,2010
41,359,1,2010
42,359,1,2010
43,359,1.03252,2010
44,359,1.01176,2010
32,358,1,2010
33,358,1,2010
41,358,1,2010
42,358,1.02899,2010
43,358,1.19658,2010
44,358,1.09259,2010
32,357,1,2010
33,357,1,2010
34,357,1,2010
41,357,1,2010
42,357,3,2010
43,357,2.40496,2010
44,357,2,2010
45,357,3,2010
46,357,1,2010
33,356,1,2010
42,356,1.7,2010
43,356,2.18333,2010
44,356,2.0229,2010
45,356,2.02222,2010
46,356,1,2010
47,356,1,2010
53,356,1,2010
54,356,1,2010
37,355,4,2010
38,355,4.36735,2010
39,355,4.08197,2010
40,355,4.4,2010
43,355,1.82143,2010
44,355,1.67742,2010
45,355,3,2010
46,355,1,2010
49,355,1,2010
50,355,1,2010
52,355,1,2010
53,355,1,2010
54,355,1,2010
20,354,4.2,2010
21,354,4,2010
31,354,4,2010
32,354,4,2010
37,354,4,2010
38,354,4.13077,2010
39,354,4.03937,2010
40,354,3.86747,2010
48,354,3.47674,2010
49,354,2.31304,2010
50,354,2.51807,2010
51,354,2.69271,2010
52,354,1.66667,2010
53,354,1,2010
54,354,1,2010
20,353,4.22222,2010
21,353,3.92742,2010
22,353,3.87629,2010
23,353,4,2010
30,353,3.34694,2010
31,353,3.76636,2010
32,353,3.85714,2010
38,353,4.16949,2010
39,353,4.024,2010
40,353,3.84536,2010
48,353,4,2010
49,353,3.64583,2010
50,353,3.25221,2010
51,353,3.04545,2010
52,353,2.79091,2010
53,353,2.1,2010
54,353,1,2010
21,352,3.38462,2010
22,352,3.37879,2010
23,352,4.10448,2010
27,352,2.44706,2010
28,352,2.17204,2010
29,352,3.45455,2010
30,352,3.67692,2010
31,352,3.77692,2010
32,352,3.26829,2010
38,352,4,2010
39,352,4,2010
40,352,4,2010
49,352,3.95455,2010
50,352,3.4507,2010
51,352,3.04412,2010
52,352,3.64407,2010
53,352,3.328,2010
54,352,1.17368,2010
5,351,4,2010
21,351,3.625,2010
22,351,3.78196,2010
23,351,4.03676,2010
26,351,4,2010
27,351,3.29259,2010
28,351,2.73507,2010
29,351,3.63934,2010
30,351,3.4,2010
31,351,3.27273,2010
32,351,3.6087,2010
33,351,4.83333,2010
34,351,4.57143,2010
35,351,1,2010
50,351,4,2010
51,351,3.69375,2010
52,351,3.86441,2010
53,351,2.56148,2010
54,351,2.70833,2010
4,350,3.44,2010
5,350,3.32117,2010
6,350,3.13462,2010
7,350,3.3913,2010
20,350,4.36364,2010
21,350,4.04762,2010
22,350,4,2010
23,350,3.99225,2010
27,350,3.3,2010
28,350,3.49174,2010
29,350,3.16667,2010
30,350,3.29927,2010
31,350,3.81481,2010
32,350,4.62,2010
33,350,4.42149,2010
34,350,3.48214,2010
35,350,1.91346,2010
44,350,3.84615,2010
51,350,4.33333,2010
52,350,3.48131,2010
53,350,2.59504,2010
54,350,2.10317,2010
4,349,3.59459,2010
5,349,3.28358,2010
6,349,3.20339,2010
20,349,4.14706,2010
21,349,4.05455,2010
22,349,3.80909,2010
23,349,3.64286,2010
24,349,1,2010
25,349,1,2010
27,349,3.325,2010
28,349,3.62025,2010
29,349,3.61029,2010
30,349,3.7766,2010
31,349,4.18284,2010
32,349,4.76136,2010
33,349,4.55046,2010
34,349,3.75,2010
35,349,2.40625,2010
42,349,4.125,2010
43,349,3.90164,2010
44,349,3.61538,2010
51,349,4.34444,2010
52,349,3.70588,2010
53,349,3.00265,2010
54,349,2.84956,2010
55,349,3.09091,2010
4,348,3.55172,2010
5,348,3.44279,2010
6,348,2.91935,2010
7,348,3.43956,2010
8,348,3.42857,2010
21,348,5,2010
23,348,1,2010
24,348,1,2010
25,348,1,2010
27,348,1,2010
29,348,4.01641,2010
30,348,4.02976,2010
31,348,4.11458,2010
32,348,3.9141,2010
33,348,4.46809,2010
39,348,3.14286,2010
42,348,3.51852,2010
43,348,3.86364,2010
50,348,3.96667,2010
51,348,4.02913,2010
52,348,3.50446,2010
53,348,3.31818,2010
54,348,3.07547,2010
55,348,3.16667,2010
4,347,3.22727,2010
5,347,3.19131,2010
6,347,2.96267,2010
7,347,3.54607,2010
8,347,3.32645,2010
9,347,3.06667,2010
27,347,1.02273,2010
28,347,4.21591,2010
29,347,4.04167,2010
30,347,3.93359,2010
31,347,3.84214,2010
32,347,2.6284,2010
39,347,2.21101,2010
40,347,3.08571,2010
44,347,3.45455,2010
50,347,4,2010
51,347,3.73333,2010
52,347,3.08333,2010
53,347,3.02532,2010
54,347,3.21111,2010
55,347,1.91304,2010
56,347,2.28571,2010
57,347,3.55102,2010
58,347,3.11538,2010
5,346,3.22314,2010
6,346,3.49213,2010
7,346,3.71074,2010
8,346,3.60985,2010
9,346,3.33824,2010
10,346,3.13953,2010
24,346,2.6,2010
25,346,1.875,2010
26,346,1.125,2010
28,346,4.03061,2010
29,346,4.39931,2010
30,346,4.28014,2010
31,346,3.00959,2010
32,346,2.61751,2010
33,346,3.95652,2010
38,346,1.125,2010
39,346,2,2010
40,346,2.75,2010
42,346,5,2010
43,346,4.17949,2010
44,346,3.95652,2010
45,346,3.44,2010
46,346,3.45455,2010
52,346,3.5,2010
53,346,2.5,2010
54,346,1.6,2010
