x,y,fire,year
37,362,1,2010
38,362,1.15789,2010
39,362,1.125,2010
37,361,1.08333,2010
38,361,1.17273,2010
39,361,1.725,2010
40,361,3.41667,2010
41,361,3.625,2010
42,361,3.50943,2010
45,361,2,2010
46,361,2.15789,2010
47,361,2.225,2010
38,360,1.05634,2010
39,360,2.8,2010
40,360,3.48598,2010
41,360,3.58974,2010
42,360,3.44037,2010
43,360,3.47059,2010
45,360,2,2010
46,360,2.09091,2010
47,360,1.90625,2010
37,359,2.08333,2010
38,359,2.27273,2010
39,359,3.34545,2010
40,359,3.41481,2010
41,359,3.3871,2010
42,359,3.28369,2010
43,359,3.06452,2010
38,358,3.25,2010
39,358,3.25564,2010
40,358,3.39706,2010
41,358,3.60331,2010
42,358,3.12782,2010
43,358,3.22222,2010
38,357,3.27778,2010
39,357,3.46847,2010
40,357,3.51111,2010
41,357,3.6748,2010
42,357,3.1165,2010
43,357,3.2,2010
45,357,1,2010
46,357,1.54839,2010
47,357,1.62712,2010
48,357,1,2010
39,356,3.26866,2010
40,356,3.29348,2010
41,356,3.59091,2010
42,356,3.37037,2010
45,356,1,2010
46,356,1.06195,2010
47,356,1.22093,2010
48,356,1,2010
53,356,1,2010
54,356,1,2010
45,355,1,2010
46,355,1,2010
52,355,2.25,2010
53,355,1.38095,2010
54,355,1.01402,2010
55,355,1,2010
51,354,3.44444,2010
52,354,2.22872,2010
53,354,2.13675,2010
54,354,1.19643,2010
55,354,1,2010
21,353,1,2010
22,353,1,2010
38,353,1,2010
39,353,1,2010
50,353,3.73077,2010
51,353,3.67797,2010
52,353,2.75641,2010
53,353,2.73775,2010
54,353,2.9375,2010
21,352,1,2010
22,352,1,2010
29,352,1.9697,2010
30,352,2.22549,2010
31,352,3,2010
37,352,3,2010
38,352,1.04,2010
39,352,1,2010
50,352,3.71429,2010
51,352,3.38318,2010
52,352,3.53125,2010
53,352,3.356,2010
54,352,2.99174,2010
55,352,3,2010
56,352,3,2010
21,351,1.51613,2010
22,351,1.45122,2010
23,351,1.62162,2010
28,351,3.21053,2010
29,351,2.81148,2010
30,351,3.06863,2010
31,351,3.03226,2010
32,351,3,2010
36,351,3.33898,2010
37,351,3.06957,2010
38,351,3.01587,2010
39,351,1.64516,2010
51,351,3.52,2010
52,351,3.44643,2010
53,351,3.09649,2010
54,351,2.85859,2010
55,351,2.8087,2010
56,351,2.92135,2010
57,351,3,2010
21,350,1.55556,2010
22,350,1.51538,2010
23,350,1.49367,2010
28,350,2.92,2010
29,350,2.94326,2010
30,350,2.9927,2010
31,350,2.94074,2010
32,350,2.64286,2010
33,350,1,2010
34,350,1,2010
35,350,3,2010
36,350,3.15217,2010
37,350,3.5,2010
38,350,3.36296,2010
39,350,3.47115,2010
54,350,2.51852,2010
55,350,2.83871,2010
56,350,2.75221,2010
57,350,2.97297,2010
58,350,3,2010
22,349,1.5,2010
28,349,3,2010
29,349,2.97842,2010
30,349,3.21277,2010
31,349,3.03731,2010
32,349,2.83019,2010
33,349,1,2010
34,349,1,2010
35,349,1,2010
36,349,2.55556,2010
37,349,3.91379,2010
38,349,3.85513,2010
39,349,4.22096,2010
40,349,4.35135,2010
41,349,4,2010
51,349,1,2010
52,349,1.21875,2010
53,349,1,2010
55,349,3.02941,2010
56,349,2.83065,2010
57,349,2.81148,2010
58,349,3,2010
4,348,1.5,2010
6,348,4,2010
7,348,3.90278,2010
8,348,4,2010
28,348,1,2010
29,348,3.08333,2010
30,348,3.06429,2010
31,348,3.00885,2010
32,348,2.71875,2010
37,348,3.7,2010
38,348,4.196,2010
39,348,4.29104,2010
40,348,4.42308,2010
41,348,4.76596,2010
42,348,4.125,2010
50,348,1,2010
51,348,1,2010
55,348,2.95775,2010
56,348,3.09574,2010
57,348,2.8595,2010
58,348,2.94286,2010
3,347,1.03226,2010
4,347,1.12097,2010
5,347,1.05963,2010
6,347,1.75,2010
7,347,3.976,2010
8,347,3.79167,2010
9,347,3.30357,2010
23,347,2.5,2010
24,347,3.25,2010
25,347,3.5814,2010
26,347,3,2010
28,347,1,2010
