x,y,fire,year
41,363,1,2010
42,363,1,2010
39,362,1.03571,2010
40,362,2.76923,2010
41,362,1.525,2010
42,362,1,2010
43,362,1,2010
39,361,1,2010
40,361,3.67327,2010
41,361,3.53383,2010
42,361,2.832,2010
43,361,2.47984,2010
44,361,3.42593,2010
37,360,1,2010
38,360,1,2010
40,360,3.76,2010
41,360,3.80342,2010
42,360,3.74797,2010
43,360,3.33333,2010
44,360,3.73894,2010
45,360,3.1791,2010
46,360,3,2010
37,359,1,2010
38,359,1,2010
39,359,2.51852,2010
40,359,4.01887,2010
41,359,4.06048,2010
42,359,3.76241,2010
43,359,3.83467,2010
44,359,3.53158,2010
45,359,2.73684,2010
46,359,3.02941,2010
47,359,3.78788,2010
48,359,3.92857,2010
37,358,4,2010
38,358,3.83333,2010
39,358,2.21695,2010
40,358,2.80882,2010
41,358,3.98898,2010
42,358,3.84328,2010
43,358,3.79831,2010
44,358,3.73504,2010
45,358,2.93069,2010
46,358,2.74846,2010
47,358,3.81301,2010
48,358,3.27011,2010
49,358,3.80233,2010
37,357,5,2010
38,357,4.27161,2010
39,357,3.6896,2010
40,357,3.7,2010
41,357,4.13821,2010
42,357,3.92797,2010
43,357,3.79924,2010
44,357,3.69211,2010
45,357,3.92574,2010
46,357,3.66,2010
47,357,3.67407,2010
48,357,3.02326,2010
49,357,3.75417,2010
50,357,4,2010
52,357,1,2010
31,356,3.18333,2010
32,356,3.10959,2010
37,356,4.42857,2010
38,356,4.63441,2010
39,356,3.94656,2010
40,356,3.90323,2010
41,356,4.13669,2010
42,356,4,2010
43,356,3.8843,2010
44,356,3.80597,2010
45,356,4.01527,2010
46,356,2.78125,2010
47,356,3.38462,2010
48,356,3.83951,2010
49,356,4,2010
52,356,1,2010
53,356,1,2010
31,355,3.22535,2010
32,355,3.37209,2010
34,355,1,2010
35,355,1.16129,2010
36,355,4.24194,2010
37,355,4,2010
38,355,4.27049,2010
39,355,4.17213,2010
40,355,3.30224,2010
41,355,3.68284,2010
42,355,4.28571,2010
43,355,3.61364,2010
44,355,3.7594,2010
45,355,3.87719,2010
46,355,3.33333,2010
47,355,3.224,2010
48,355,3.05556,2010
49,355,4.7,2010
23,354,4.5,2010
24,354,3.36607,2010
25,354,2.875,2010
30,354,3.21154,2010
31,354,3.32584,2010
32,354,3.33333,2010
35,354,3.19565,2010
36,354,3.77523,2010
37,354,4,2010
38,354,3.54615,2010
39,354,3.22441,2010
40,354,3.78947,2010
41,354,4.0511,2010
42,354,3.87069,2010
43,354,3.78261,2010
44,354,3.31429,2010
45,354,3.5,2010
46,354,3.4,2010
47,354,3.31818,2010
48,354,2.60606,2010
49,354,2.53968,2010
51,354,1,2010
52,354,1,2010
23,353,3.80488,2010
24,353,3.72093,2010
25,353,4.06338,2010
26,353,4.35211,2010
27,353,4.28571,2010
30,353,3.62319,2010
31,353,3.43333,2010
32,353,3.15385,2010
35,353,3.44841,2010
36,353,3.34881,2010
37,353,3.98889,2010
38,353,4.14085,2010
39,353,3.252,2010
40,353,3.45565,2010
41,353,4,2010
42,353,3.93548,2010
48,353,3.08696,2010
49,353,2.90217,2010
50,353,2,2010
51,353,1,2010
52,353,1,2010
23,352,4.25,2010
24,352,4.05882,2010
25,352,4.66197,2010
26,352,4.54331,2010
27,352,1.69167,2010
28,352,1.78182,2010
29,352,3.93939,2010
30,352,3.66154,2010
31,352,3.57308,2010
32,352,3.41791,2010
35,352,2.81694,2010
36,352,2.86667,2010
37,352,3.31468,2010
38,352,3.29717,2010
39,352,2.71756,2010
40,352,3,2010
49,352,3,2010
50,352,2.64706,2010
51,352,1,2010
52,352,1,2010
5,351,4,2010
24,351,5,2010
25,351,4.53731,2010
26,351,4.29752,2010
27,351,3.73723,2010
28,351,3.59328,2010
29,351,4.07787,2010
30,351,4.08621,2010
31,351,3.44253,2010
32,351,3,2010
34,351,4,2010
35,351,2.53571,2010
36,351,2.74242,2010
37,351,2.52361,2010
38,351,2.47722,2010
39,351,3.24806,2010
40,351,2.67164,2010
50,351,1,2010
51,351,1,2010
4,350,3.84,2010
5,350,3.86496,2010
6,350,3.17788,2010
7,350,3.86957,2010
25,350,3.0303,2010
26,350,3.06504,2010
27,350,4.28125,2010
28,350,4.4726,2010
29,350,4.32422,2010
30,350,4.0339,2010
31,350,3.25,2010
35,350,3.17647,2010
36,350,3.29394,2010
37,350,3.29382,2010
38,350,2.00864,2010
39,350,3.47348,2010
40,350,2.68103,2010
41,350,2.7381,2010
50,350,1,2010
53,350,3.15,2010
54,350,3.12698,2010
55,350,2.86957,2010
56,350,2.66667,2010
4,349,4,2010
5,349,3.91606,2010
6,349,3.3843,2010
22,349,2.75,2010
23,349,3.40909,2010
25,349,1,2010
26,349,1.125,2010
27,349,4.05263,2010
33,349,1,2010
35,349,3.5,2010
36,349,3.24648,2010
37,349,3.89781,2010
38,349,1.92692,2010
39,349,3.34532,2010
40,349,3.77551,2010
41,349,3.22222,2010
52,349,1,2010
53,349,2.98876,2010
54,349,3.13333,2010
55,349,3.08108,2010
56,349,2.97619,2010
3,348,4.25,2010
4,348,4.07983,2010
5,348,3.99638,2010
6,348,3.76587,2010
7,348,3.88542,2010
8,348,3.75,2010
21,348,3.6,2010
22,348,3.59434,2010
23,348,3.24296,2010
24,348,3.20946,2010
25,348,1,2010
26,348,1,2010
29,348,1,2010
30,348,1,2010
32,348,2.5,2010
33,348,1.08333,2010
34,348,1,2010
36,348,3.41667,2010
37,348,3.62745,2010
38,348,4.15414,2010
39,348,3.05597,2010
40,348,3.22115,2010
41,348,4,2010
42,348,3.95238,2010
44,348,3.83333,2010
45,348,3.64706,2010
46,348,3.89655,2010
52,348,1,2010
53,348,2.23148,2010
54,348,3.09346,2010
55,348,3,2010
56,348,3.125,2010
3,347,4.08642,2010
4,347,3.88519,2010
5,347,3.88462,2010
6,347,3.732,2010
7,347,3.75403,2010
8,347,3.45492,2010
9,347,2.10811,2010
10,347,3.125,2010
12,347,2,2010
13,347,3.13793,2010
14,347,2.45,2010
15,347,2.5,2010
21,347,2.34783,2010
22,347,3.33088,2010
23,347,3.39231,2010
24,347,3,2010
25,347,1,2010
26,347,1,2010
29,347,1,2010
30,347,1,2010
31,347,3.4466,2010
32,347,3.11966,2010
33,347,3.8125,2010
34,347,1,2010
35,347,1.00862,2010
36,347,1.06897,2010
38,347,2.99306,2010
39,347,2.96429,2010
40,347,2.53817,2010
41,347,3.05217,2010
42,347,3.52941,2010
43,347,4,2010
44,347,3.68932,2010
45,347,3.40777,2010
46,347,3.61111,2010
52,347,1,2010
53,347,1.07317,2010
54,347,3.10526,2010
55,347,3,2010
2,346,5,2010
3,346,4.05405,2010
4,346,3.89051,2010
5,346,3.87778,2010
6,346,3.96094,2010
7,346,3.79204,2010
8,346,3.6405,2010
9,346,2.94565,2010
10,346,3.1,2010
11,346,2.2549,2010
12,346,2.20968,2010
13,346,3.19266,2010
14,346,2.71374,2010
15,346,3.76316,2010
16,346,1.375,2010
17,346,1,2010
21,346,2,2010
22,346,3,2010
27,346,3.14286,2010
28,346,2.85714,2010
29,346,2.67164,2010
30,346,1.79798,2010
31,346,3.29845,2010
32,346,3.47518,2010
33,346,3.45349,2010
34,346,1.12857,2010
35,346,1.00694,2010
36,346,1,2010
38,346,2.23704,2010
39,346,2.6385,2010
40,346,2.29688,2010
41,346,2.8,2010
42,346,3.50725,2010
43,346,4.1978,2010
44,346,3.75833,2010
45,346,3.4,2010
46,346,3.68889,2010
47,346,3.85714,2010
2,345,4.15789,2010
3,345,3.96403,2010
4,345,4.03125,2010
5,345,4.02941,2010
6,345,4.01527,2010
7,345,3.94059,2010
8,345,4,2010
10,345,2.12346,2010
11,345,2.1028,2010
12,345,2.37719,2010
13,345,2.85714,2010
14,345,3.47863,2010
15,345,3.55063,2010
16,345,1.90909,2010
17,345,1,2010
18,345,1,2010
19,345,1,2010
26,345,3.25,2010
27,345,3,2010
28,345,3.27654,2010
29,345,3.46124,2010
30,345,3.49627,2010
31,345,3.47222,2010
32,345,3.275,2010
33,345,3.54959,2010
34,345,3.69685,2010
35,345,1.61905,2010
36,345,1,2010
38,345,2.1478,2010
39,345,2.29657,2010
40,345,2.19444,2010
41,345,3.68293,2010
42,345,4.20652,2010
43,345,4.32609,2010
44,345,4.2518,2010
45,345,3.50388,2010
46,345,3.51504,2010
47,345,3.98305,2010
48,345,4.03846,2010
1,344,4,2010
2,344,3.61417,2010
3,344,3.94203,2010
4,344,3.93333,2010
5,344,4.21324,2010
6,344,4.13235,2010
7,344,3.89691,2010
8,344,3,2010
9,344,3.10526,2010
10,344,2.7156,2010
11,344,2.61404,2010
12,344,2.91122,2010
13,344,2.70755,2010
14,344,2.78455,2010
15,344,2.52,2010
16,344,2.88235,2010
18,344,1,2010
19,344,1,2010
20,344,1,2010
26,344,4,2010
27,344,2.88095,2010
28,344,3.10315,2010
29,344,3.23119,2010
30,344,3.65068,2010
32,344,3.79487,2010
33,344,3.96,2010
34,344,3.79661,2010
35,344,3.30435,2010
38,344,1.15,2010
39,344,1.75781,2010
40,344,3.19375,2010
41,344,3.7037,2010
42,344,3.67647,2010
43,344,3.97222,2010
44,344,4.06383,2010
45,344,3.74684,2010
46,344,2.84661,2010
47,344,2.97455,2010
48,344,3.52857,2010
49,344,4,2010
52,344,4,2010
53,344,4.06667,2010
54,344,3.92424,2010
55,344,4.025,2010
56,344,3.5,2010
59,344,1,2010
60,344,1,2010
1,343,3.41667,2010
2,343,3.46403,2010
3,343,3.37597,2010
4,343,3.652,2010
5,343,4.03101,2010
6,343,3.60938,2010
7,343,3.54348,2010
9,343,3.05682,2010
10,343,3.0084,2010
11,343,2.65789,2010
12,343,3.03125,2010
13,343,3.13514,2010
14,343,2.41758,2010
15,343,2.9596,2010
16,343,2.93333,2010
19,343,1.15152,2010
20,343,1.03279,2010
21,343,1,2010
25,343,1.33333,2010
26,343,1.08108,2010
27,343,2.51724,2010
28,343,2.5185,2010
29,343,2.83231,2010
30,343,2.51351,2010
31,343,1.45833,2010
32,343,1.00893,2010
33,343,2.90179,2010
34,343,3.32283,2010
35,343,3.84946,2010
37,343,1,2010
38,343,3.33333,2010
39,343,3.39394,2010
40,343,3.47857,2010
41,343,3.81022,2010
42,343,3.90517,2010
43,343,4.2,2010
44,343,3.94964,2010
45,343,3.08955,2010
46,343,2.3042,2010
47,343,2.35145,2010
48,343,3.52869,2010
49,343,4.10526,2010
50,343,4,2010
51,343,3.875,2010
52,343,4.06383,2010
53,343,4.08333,2010
54,343,3.97761,2010
55,343,4.0989,2010
56,343,4,2010
59,343,1.29114,2010
60,343,1.25373,2010
1,342,3.63889,2010
2,342,3.53101,2010
3,342,2.61811,2010
4,342,2.67797,2010
5,342,4.03448,2010
6,342,3.625,2010
7,342,1.77273,2010
8,342,2.14844,2010
9,342,3,2010
10,342,3.03077,2010
11,342,2.45802,2010
12,342,2.73171,2010
13,342,3.29825,2010
14,342,2.83607,2010
15,342,2.98649,2010
16,342,1,2010
19,342,1.01786,2010
20,342,1.01527,2010
21,342,1,2010
24,342,1,2010
25,342,1.0102,2010
26,342,1.05263,2010
27,342,1.07143,2010
28,342,2.61765,2010
29,342,2.97877,2010
30,342,2.7336,2010
31,342,2.81651,2010
32,342,1.20787,2010
33,342,1.33984,2010
34,342,1.87879,2010
35,342,2.70513,2010
38,342,3.56522,2010
39,342,3.93103,2010
40,342,3.86014,2010
41,342,3.86861,2010
42,342,3.98507,2010
43,342,4.2521,2010
44,342,4.10638,2010
45,342,3.96923,2010
46,342,3.68797,2010
47,342,3.44097,2010
48,342,3.96262,2010
49,342,3.96667,2010
50,342,4,2010
51,342,4.18182,2010
52,342,4.04348,2010
53,342,4.02778,2010
54,342,3.94231,2010
55,342,3.94118,2010
58,342,1,2010
59,342,1,2010
60,342,1,2010
1,341,3.97273,2010
2,341,4.09615,2010
3,341,3.05417,2010
4,341,2.70833,2010
5,341,3.68504,2010
6,341,3.10593,2010
7,341,2.06569,2010
8,341,2.61947,2010
9,341,3.03226,2010
10,341,2.37168,2010
11,341,2.73874,2010
12,341,2.51724,2010
13,341,2.41279,2010
14,341,2.42553,2010
15,341,2.77778,2010
18,341,4.66667,2010
19,341,1,2010
20,341,1,2010
21,341,1,2010
23,341,3,2010
24,341,2.17241,2010
25,341,1.04464,2010
26,341,1.0087,2010
27,341,1.04348,2010
28,341,2,2010
29,341,2.73554,2010
30,341,2.48936,2010
31,341,2.98062,2010
32,341,3.125,2010
34,341,1.59375,2010
35,341,1,2010
38,341,3.84146,2010
39,341,3.77311,2010
40,341,4.29496,2010
41,341,4.3007,2010
42,341,4.16794,2010
43,341,4.18657,2010
44,341,4.47107,2010
45,341,4.35772,2010
46,341,4.3719,2010
47,341,4.1791,2010
48,341,3.93162,2010
49,341,4.10204,2010
50,341,3.86207,2010
51,341,4,2010
52,341,4.02532,2010
53,341,4.16279,2010
54,341,2.16667,2010
55,341,2.56364,2010
56,341,2.16667,2010
59,341,1,2010
60,341,1,2010
61,341,1,2010
1,340,3.42276,2010
2,340,2.78125,2010
3,340,3.27119,2010
4,340,2.2328,2010
5,340,1.61154,2010
6,340,2.28175,2010
7,340,2.3716,2010
8,340,2.48684,2010
9,340,2.35294,2010
10,340,2.59783,2010
11,340,3,2010
12,340,3.03165,2010
13,340,2.88636,2010
15,340,4.425,2010
16,340,4.4466,2010
17,340,4.33333,2010
18,340,4.54098,2010
19,340,3.68293,2010
23,340,2.95522,2010
