xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319904.0193,4092218.842,2039.62,bc1,24.2,Calocedrus decurrens,Jeffrey pine,2002,Live,0.106384096,2
319951.5793,4092223.242,2040.73,bc1,13.6,Abies concolor,White fir,2002,Live,0.031314649,1
319951.2093,4092222.882,2040.94,bc1,9.7,Abies concolor,White fir,2002,Live,0.013586394,1
319961.3993,4092229.502,2040.11,bc1,25.1,Abies concolor,White fir,2002,Live,0.142693473,2
319948.4093,4092231.212,2041.2,bc1,18.8,Abies concolor,White fir,2002,Live,0.069763937,1
319953.3493,4092209.402,2040.43,bc1,14.1,Calocedrus decurrens,Jeffrey pine,2002,Live,0.03150625,1
319954.7293,4092209.812,2040.28,bc1,8.1,Abies concolor,White fir,2002,Live,0.008708073,1
319883.0593,4092238.262,2040.14,bc1,19.4,Abies concolor,White fir,2002,Live,0.075405428,1
319865.4793,4092240.142,2041.38,bc1,22.1,Calocedrus decurrens,Jeffrey pine,2002,Live,0.086698637,2
319847.2393,4092191.412,2037.41,bc1,39.4,Abies concolor,White fir,2002,Live,0.436098929,2
319848.6393,4092192.412,2037.47,bc1,14.1,Abies concolor,White fir,2002,Live,0.034239022,1
319848.5693,4092191.422,2037.62,bc1,10.7,Abies concolor,White fir,2002,Live,0.017311535,1
319914.7793,4092186.622,2038.47,bc1,6.4,Abies concolor,White fir,2002,Live,0.004873311,1
320013.5193,4092186.892,2032.24,bc1,5.9,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004454819,1
320014.2193,4092185.872,2032.18,bc1,6.2,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004977896,1
319999.6093,4092204.312,2034.44,bc1,5.8,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004287631,1
320016.3693,4092187.692,2032.14,bc1,7,Calocedrus decurrens,Jeffrey pine,2002,Live,0.006533158,1
320015.6093,4092187.702,2032.14,bc1,6.23,Calocedrus decurrens,Jeffrey pine,2002,Live,0.005031989,1
