xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320313.1313,4092156.439,2030.66,bn2,15,Pinus lambertiana,Sugar pine,2002,Live,0.035278464,1
320448.8013,4092150.999,2010.97,bn2,16,Pinus lambertiana,Sugar pine,2002,Live,0.041261202,1
320441.5913,4092149.339,2014.06,bn2,28,Pinus jeffreyi,Jeffrey pine,2002,Live,0.160673805,2
320416.3113,4092151.949,2017.88,bn2,11,Abies concolor,White fir,2002,Live,0.01853536,1
320408.1613,4092150.359,2018.84,bn2,15,Calocedrus decurrens,Jeffrey pine,2002,Dead,0.034136993,1
320403.9813,4092149.619,2019.9,bn2,18,Calocedrus decurrens,Jeffrey pine,2002,Live,0.054600984,1
320403.3413,4092149.899,2020.17,bn2,13,Calocedrus decurrens,Jeffrey pine,2002,Live,0.026242962,1
320347.0913,4092156.579,2023.27,bn2,6,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004625583,1
320346.2913,4092155.909,2022.53,bn2,14,Pinus lambertiana,Sugar pine,2002,Live,0.029839975,1
320320.9013,4091991.729,2020.73,bn2,17,Pinus lambertiana,Sugar pine,2002,Live,0.04780364,1
320298.7013,4092011.109,2020.94,bn2,8,Abies concolor,White fir,2002,Live,0.008445338,1
320376.1813,4091969.449,2015.36,bn2,8,Calocedrus decurrens,Jeffrey pine,2002,Live,0.008814188,1
320342.1613,4091968.939,2018.95,bn2,6,Abies concolor,White fir,2002,Live,0.004157572,1
320319.5613,4091960.729,2016.5,bn2,5,Abies concolor,White fir,2002,Live,0.002655783,1
320302.8113,4092048.079,2028.6,bn2,8,Abies concolor,White fir,2002,Live,0.008445338,1
320430.4213,4092041.219,2002.17,bn2,13,Calocedrus decurrens,Jeffrey pine,2002,Live,0.026242962,1
320478.7913,4092035.639,1986.34,bn2,6,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004625583,1
320364.6613,4092073.119,2021.86,bn2,6,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004625583,1
320403.1613,4091965.189,2007.7,bn2,6,Abies concolor,White fir,2002,Live,0.004157572,1
320423.9613,4091986.159,2003.27,bn2,5,Pinus lambertiana,Sugar pine,2002,Live,0.002471192,1
320451.5313,4092013.269,1994.36,bn2,8,Abies concolor,White fir,2002,Live,0.008445338,1
320325.8113,4092063.309,2030.2,bn2,19,Abies concolor,White fir,2002,Live,0.07161536,1
320465.8713,4091975.949,1987.1,bn2,17,Abies concolor,White fir,2002,Live,0.054382707,1
320322.8913,4091958.289,2016.64,bn2,6,Abies concolor,White fir,2002,Live,0.004157572,1
320406.9413,4091988.859,2009.24,bn2,17,Abies concolor,White fir,2002,Live,0.054382707,1
320406.9613,4091991.009,2009.43,bn2,21,Abies concolor,White fir,2002,Live,0.09174986,2
320442.6813,4092088.419,2003.33,bn2,6,Abies concolor,White fir,2002,Live,0.004157572,1
320390.2675,4092109.148,2013.35,bn2,10.5,Pinus lambertiana,Sugar pine,2002,Live,0.014853399,1
320328.9375,4092100.298,2027.65,bn2,11.2,Quercus kelloggii,California black oak,2002,Live,0.028669378,1
320328.9375,4092100.838,2027.58,bn2,8.5,Quercus kelloggii,California black oak,2002,Live,0.014705586,1
320328.8875,4092101.638,2027.54,bn2,9,Quercus kelloggii,California black oak,2002,Live,0.016885662,1
320326.2475,4092144.618,2028.34,bn2,28,Abies concolor,White fir,2002,Live,0.187077649,2
320307.6475,4092152.988,2032.03,bn2,11.5,Abies concolor,White fir,2002,Live,0.020687035,1
320306.1375,4092149.758,2033.04,bn2,5,Abies concolor,White fir,2002,Live,0.002655783,1
320485.4375,4092019.068,1983.79,bn2,119.3,Abies concolor,White fir,2002,Live,6.802082847,6
320336.5275,4092021.448,2027.42,bn2,49.5,Abies concolor,White fir,2002,Live,0.767808483,3
320390.2675,4092111.728,2013.33,bn2,19.7,Abies concolor,White fir,2002,Live,0.078324872,1
320362.2775,4092120.728,2019.31,bn2,16.2,Abies concolor,White fir,2002,Live,0.048268624,1
320345.3375,4092113.388,2023.57,bn2,7.9,Abies concolor,White fir,2002,Live,0.008187395,1
320469.8175,4092136.538,2014.06,bn2,42,Abies concolor,White fir,2002,Live,0.51094268,3
320448.5075,4092149.548,2011.05,bn2,95.5,Pinus lambertiana,Sugar pine,2002,Live,3.17758461,5
320436.0875,4092143.018,2014.34,bn2,55.7,N/A,N/A,2002,Live,1.028753883,3
320441.3375,4092150.118,2014.46,bn2,53.2,Abies concolor,White fir,2002,Live,0.918049228,3
320434.7775,4092149.643,2016.22,bn2,60,Abies concolor,White fir,2002,Live,1.237047097,3
