xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320074.6701,4091993.84,2012.61,bs2,32.4,Calocedrus decurrens,Jeffrey pine,2002,Live,0.205424927,2
320069.4901,4091976.41,2008.35,bs2,8.3,Abies concolor,White fir,2002,Live,0.009248034,1
320249.5601,4091913.83,2020.96,bs2,5.8,Calocedrus decurrens,Jeffrey pine,2002,Dead,0.004287631,1
320072.6601,4091975.79,2009.39,bs2,8.2,Calocedrus decurrens,Jeffrey pine,2002,Dead,0.009316382,1
320069.3001,4091977.15,2008.5,bs2,30,Calocedrus decurrens,Jeffrey pine,2002,Live,0.172690056,2
320060.6801,4091902.77,2005.199,bs2,12.6,Abies concolor,White fir,2002,Live,0.025926658,1
320069.0801,4092041.36,2015.13,bs2,8.2,Abies concolor,White fir,2002,Live,0.008975629,1
320073.5401,4091939.67,2003.42,bs2,7.6,Abies concolor,White fir,2002,Live,0.007442034,1
320079.2201,4091936.31,2003.37,bs2,43.3,Calocedrus decurrens,Jeffrey pine,2002,Live,0.395176076,3
320090.7801,4091928.59,2004.4,bs2,10.1,Abies concolor,White fir,2002,Live,0.015011949,1
320070.7501,4091978.11,2009.08,bs2,37.4,Calocedrus decurrens,Jeffrey pine,2002,Live,0.283957036,2
320083.7601,4091999.38,2015.14,bs2,9.9,Abies concolor,White fir,2002,Live,0.014288557,1
320061.4701,4091893.28,2004.979,bs2,17.5,Calocedrus decurrens,Jeffrey pine,2002,Live,0.051243867,1
320073.1801,4091938.7,2002.95,bs2,11.4,Calocedrus decurrens,Jeffrey pine,2002,Live,0.019530518,1
320093.5701,4091928.81,2004.89,bs2,20,Calocedrus decurrens,Jeffrey pine,2002,Live,0.069229476,1
320090.8701,4091928.66,2004.4,bs2,15.2,Calocedrus decurrens,Jeffrey pine,2002,Live,0.037310978,1
320210.2201,4091921.27,2017.38,bs2,11.4,Calocedrus decurrens,Jeffrey pine,2002,Live,0.019530518,1
320091.9001,4091927.44,2004.54,bs2,11,Abies concolor,White fir,2002,Live,0.01853536,1
320094.4301,4091925.98,2004.76,bs2,6.5,Calocedrus decurrens,Jeffrey pine,2002,Dead,0.00553356,1
320231.9201,4092079.59,2032.02,bs2,8.7,Abies concolor,White fir,2002,Live,0.010386711,1
320082.1001,4092034.77,2017,bs2,5.3,Abies concolor,White fir,2002,Live,0.003064505,1
320088.3001,4092008.83,2017.38,bs2,6.6,Abies concolor,White fir,2002,Live,0.005256893,1
320180.3901,4092009.43,2025.87,bs2,45.5,Calocedrus decurrens,Jeffrey pine,2002,Live,0.441936872,3
320133.5701,4091975.38,2017.75,bs2,11,Pinus jeffreyi,Jeffrey pine,2002,Live,0.016626173,1
320194.3901,4091941.42,2016.99,bs2,13.4,Abies concolor,White fir,2002,Live,0.030188314,1
320225.7601,4091956.34,2018.84,bs2,10.1,Abies concolor,White fir,2002,Live,0.015011949,1
320191.8401,4092071.98,2035.1,bs2,13.1,Abies concolor,White fir,2002,Live,0.028544779,1
320201.2201,4091994.65,2023.6,bs2,39.4,Calocedrus decurrens,Jeffrey pine,2002,Live,0.319372571,2
320236.1101,4092077.44,2031.63,bs2,40.1,Calocedrus decurrens,Jeffrey pine,2002,Live,0.332318063,3
320252.3001,4091911.39,2021.1,bs2,88.5,Abies concolor,White fir,2002,Live,3.243078145,5
320185.7801,4091961.76,2019.7,bs2,15,Calocedrus decurrens,Jeffrey pine,2002,Live,0.036214815,1
