xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320383.3007,4092660.665,2109.67,uc3,5.6,Abies concolor,White fir,2002,Live,0.003508649,1
320381.2607,4092661.515,2110.29,uc3,27.1,Abies magnifica,Red fir,2002,Live,0.17253381,2
320378.5607,4092660.025,2110.35,uc3,5,Abies concolor,White fir,2002,Live,0.002655783,1
320379.6907,4092658.435,2109.61,uc3,37.6,Pinus lambertiana,Sugar pine,2002,Live,0.329020515,2
320379.2907,4092654.025,2108.89,uc3,31,Abies concolor,White fir,2002,Live,0.240731836,2
320370.5507,4092656.845,2111.16,uc3,31,Pinus lambertiana,Sugar pine,2002,Dead,0.205779086,2
320369.5507,4092657.505,2111.67,uc3,24.7,Abies magnifica,Red fir,2002,Live,0.137127576,2
320370.5107,4092654.635,2110.7,uc3,75.2,Abies concolor,White fir,2002,Live,2.165506667,4
320378.7307,4092646.365,2106.96,uc3,36.7,Abies magnifica,Red fir,2002,Live,0.365744162,2
320440.4307,4092765.875,2108.19,uc3,33.2,Abies concolor,White fir,2002,Live,0.28530697,2
320419.7607,4092709.755,2107.43,uc3,70.5,Abies concolor,White fir,2002,Live,1.845242855,4
320415.7607,4092708.885,2108.73,uc3,35.9,Abies concolor,White fir,2002,Live,0.346303669,2
320369.3807,4092611.615,2105.59,uc3,27.2,Abies concolor,White fir,2002,Live,0.174115165,2
320369.6907,4092611.605,2105.26,uc3,57.1,Abies concolor,White fir,2002,Live,1.094059925,3
320362.4007,4092670.305,2115.24,uc3,25.3,Abies magnifica,Red fir,2002,Live,0.145526127,2
320357.3407,4092706.745,2119.7,uc3,27.6,Pinus lambertiana,Sugar pine,2002,Live,0.155151436,2
320329.7407,4092614.095,2114.75,uc3,66.4,Abies magnifica,Red fir,2002,Live,1.590482507,4
320357.0807,4092611.105,2108.22,uc3,21.9,Abies concolor,White fir,2002,Live,0.101795485,2
320371.8307,4092660.255,2111.65,uc3,14.1,Abies concolor,White fir,2002,Live,0.034239022,1
320430.2407,4092613.805,2090.63,uc3,15.5,Abies concolor,White fir,2002,Live,0.043272015,1
320408.5407,4092615.425,2094.91,uc3,57.2,Abies concolor,White fir,2002,Live,1.098816666,3
320401.8007,4092613.005,2096.68,uc3,41.7,Abies concolor,White fir,2002,Live,0.501944432,3
