xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319840.6534,4092045.856,2017.71,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319876.9134,4092044.756,2011.29,un1,50,Pinus lambertiana,Sugar pine,2002,Live,0.658093319,3
319858.7934,4092054.736,2014.49,un1,106,Abies concolor,White fir,2002,Live,5.073561471,6
319857.6634,4092054.816,2014.56,un1,37,Abies concolor,White fir,2002,Live,0.37319827,2
319856.6634,4092055.126,2014.64,un1,96,Abies concolor,White fir,2002,Dead,3.789883918,5
319856.1034,4092048.066,2014.18,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319858.2534,4092045.226,2013.19,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319852.7334,4092047.746,2015.01,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319810.8234,4091986.076,2008.23,un1,26,Abies concolor,White fir,2002,Live,0.155703523,2
319812.8834,4091986.576,2008.38,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319805.9334,4091984.116,2007.68,un1,55,Abies concolor,White fir,2002,Live,0.996997056,3
319803.9934,4092001.106,2009.81,un1,50,Abies concolor,White fir,2002,Live,0.787179113,3
319804.9034,4092000.516,2010.02,un1,57,Abies concolor,White fir,2002,Live,1.089315499,3
319809.3334,4092004.266,2011.03,un1,41,Abies concolor,White fir,2002,Live,0.481318503,3
319809.7734,4092003.606,2011.14,un1,36,Abies concolor,White fir,2002,Live,0.348699111,2
319810.3634,4092002.816,2011.01,un1,50,Abies concolor,White fir,2002,Live,0.787179113,3
319818.1734,4091994.416,2009.82,un1,19,Pinus jeffreyi,Jeffrey pine,2002,Live,0.062626792,1
319813.5434,4091984.936,2008.17,un1,39,Abies concolor,White fir,2002,Live,0.425208128,2
319810.6134,4091981.876,2007.61,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319810.3334,4091980.486,2006.98,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319811.4134,4091980.096,2007.06,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319812.6634,4091980.916,2007.41,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319812.9234,4091981.156,2007.41,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319813.3134,4091980.856,2007.41,un1,35,Abies concolor,White fir,2002,Live,0.325186417,2
319814.6534,4091979.976,2007.15,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319815.7634,4091980.996,2007.38,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319815.0134,4091982.296,2007.67,un1,42,Abies concolor,White fir,2002,Live,0.51094268,3
319823.9534,4091990.496,2009.39,un1,45,Pinus lambertiana,Sugar pine,2002,Live,0.509312715,3
319822.6834,4091981.156,2007.16,un1,55,Pinus lambertiana,Sugar pine,2002,Dead,0.791278181,3
319828.2534,4091983.816,2007.8,un1,53,N/A,N/A,2002,Dead,0.867148194,3
319834.1734,4091973.786,2005.03,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319812.7234,4091970.476,2005.03,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319814.6334,4091966.326,2004.2,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319809.6334,4091965.226,2003.86,un1,26,Abies concolor,White fir,2002,Live,0.155703523,2
319814.5134,4091964.476,2003.86,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319815.6834,4091965.236,2004.14,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319817.3534,4091966.326,2004.29,un1,44,Abies concolor,White fir,2002,Live,0.573390216,3
319818.3634,4091967.146,2004.47,un1,44,Abies concolor,White fir,2002,Live,0.573390216,3
319817.5834,4091961.636,2003.78,un1,8,Abies magnifica,Red fir,2002,Live,0.008445338,1
319817.5834,4091961.646,2003.78,un1,28,Abies concolor,White fir,2002,Live,0.187077649,2
319816.3134,4091961.686,2003.71,un1,44,Abies concolor,White fir,2002,Live,0.573390216,3
319815.0834,4091961.176,2003.53,un1,19,Abies concolor,White fir,2002,Live,0.07161536,1
319815.5934,4091959.566,2003.43,un1,99,Pinus lambertiana,Sugar pine,2002,Dead,2.539888073,5
319817.1134,4091960.266,2003.5,un1,133,Pinus lambertiana,Sugar pine,2002,Dead,5.228493127,6
319818.6834,4091960.206,2003.41,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319822.5834,4091963.846,2003.9,un1,19,Abies concolor,White fir,2002,Live,0.07161536,1
319823.3534,4091963.616,2003.9,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319827.8534,4091965.006,2004.12,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319829.3934,4091964.756,2004.02,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319829.7734,4091965.746,2004.11,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319827.8934,4091967.406,2004.32,un1,57,Abies concolor,White fir,2002,Live,1.089315499,3
319828.1834,4091968.616,2004.56,un1,73,Abies concolor,White fir,2002,Live,2.011787134,4
319827.4934,4091970.646,2004.87,un1,13,Abies concolor,White fir,2002,Live,0.028009104,1
319827.3634,4091970.216,2004.71,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319826.0034,4091969.796,2004.74,un1,46,Abies concolor,White fir,2002,Live,0.640183209,3
319865.1934,4091994.316,2008.21,un1,25,Abies concolor,White fir,2002,Live,0.141289597,2
319865.5134,4091996.446,2008.46,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319872.2634,4091995.966,2007.1,un1,53,Abies concolor,White fir,2002,Live,0.909516447,3
319866.5234,4091989.036,2006.97,un1,65,Abies concolor,White fir,2002,Live,1.508622278,4
319866.8534,4091988.336,2006.84,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319867.7534,4091988.786,2006.87,un1,52,Abies concolor,White fir,2002,Live,0.867563695,3
319867.9334,4091985.916,2006.47,un1,129,Abies concolor,White fir,2002,Live,8.257566882,6
319875.4234,4091988.026,2005.26,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319875.7534,4091987.976,2005.01,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319880.1934,4091993.826,2005.15,un1,51,Abies concolor,White fir,2002,Live,0.826788232,3
319883.9134,4091996.826,2004.82,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319890.6634,4091992.196,2002.85,un1,54,Abies concolor,White fir,2002,Live,0.952657324,3
319882.5034,4091991.966,2004.12,un1,68,Abies concolor,White fir,2002,Live,1.687216638,4
319884.7334,4091989.686,2003.46,un1,26,Abies concolor,White fir,2002,Dead,0.109832802,2
319885.0434,4091989.116,2003.3,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319888.1634,4091984.246,2001.93,un1,23,Abies concolor,White fir,2002,Live,0.114929233,2
319881.3434,4091985.596,2003.62,un1,58,Abies concolor,White fir,2002,Dead,0.937836896,3
319882.8234,4091983.826,2003.14,un1,34,Abies concolor,White fir,2002,Live,0.302646916,2
319882.8234,4091983.726,2003.14,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319886.0734,4091976.746,2001.61,un1,26,Abies concolor,White fir,2002,Dead,0.147803462,2
319886.4134,4091976.306,2001.52,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319886.1234,4091974.866,2001.47,un1,29,Abies concolor,White fir,2002,Live,0.204068438,2
319886.1234,4091974.876,2001.47,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319887.0334,4091978.056,2001.46,un1,43,Abies concolor,White fir,2002,Live,0.541629221,3
319887.5434,4091979.226,2001.3,un1,56,Abies concolor,White fir,2002,Live,1.042546272,3
319888.6134,4091980.036,2001.12,un1,13,Abies concolor,White fir,2002,Live,0.028009104,1
319891.6634,4091979.436,2000.33,un1,32,Abies concolor,White fir,2002,Live,0.26043341,2
319890.2334,4091977.756,2000.77,un1,43,Abies concolor,White fir,2002,Live,0.541629221,3
319890.2534,4091976.886,2000.66,un1,48,Abies concolor,White fir,2002,Live,0.711415569,3
319883.3534,4091975.846,2002.31,un1,31,Abies concolor,White fir,2002,Live,0.240731836,2
319882.0434,4091973.986,2002.31,un1,46,Abies concolor,White fir,2002,Live,0.640183209,3
319882.8934,4091971.766,2001.9,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319880.7034,4091970.996,2002.2,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319877.6034,4091975.046,2003.11,un1,51,Abies concolor,White fir,2002,Live,0.826788232,3
319878.6734,4091981.146,2003.51,un1,64,Abies concolor,White fir,2002,Live,1.451725061,4
319872.0634,4091981.146,2004.94,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319871.7134,4091978.546,2004.7,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319869.9134,4091978.766,2005,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319870.6134,4091977.816,2004.69,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319872.0434,4091977.066,2004.37,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319871.7334,4091975.956,2004.19,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319870.4734,4091975.406,2004.31,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319869.2734,4091976.576,2004.73,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319869.5034,4091975.456,2004.31,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319872.6034,4091974.556,2003.86,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319873.1134,4091971.876,2003.34,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319872.1534,4091970.886,2003.4,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319871.0134,4091970.626,2003.59,un1,29,Abies concolor,White fir,2002,Live,0.204068438,2
319867.9634,4091973.926,2004.4,un1,39,Abies concolor,White fir,2002,Live,0.425208128,2
319865.9634,4091975.066,2004.88,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
