xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
320033.7047,4093118.954,2142.36,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
320128.3847,4093088.454,2133.33,us3,15,N/A,N/A,2002,Live,0.039900826,1
319976.3347,4093191.584,2144.33,us3,25,N/A,N/A,2002,Live,0.141289597,2
320003.6447,4093107.294,2138.59,us3,25,N/A,N/A,2002,Live,0.141289597,2
320131.5647,4093254.564,2158.66,us3,30,Abies concolor,White fir,2002,Live,0.221948298,2
319965.1547,4093183.484,2145.28,us3,32,Pinus spp.,Pine,2002,Live,0.222291701,2
320004.6347,4093105.304,2138.3,us3,35,N/A,N/A,2002,Live,0.325186417,2
320019.1047,4093221.144,2153.72,us3,40,Abies concolor,White fir,2002,Live,0.452744451,2
320043.2047,4093115.974,2144.33,us3,45,Calocedrus decurrens,Jeffrey pine,2002,Live,0.431053236,3
320138.7447,4093111.184,2133.68,us3,45,N/A,N/A,2002,Live,0.60623761,3
320004.3947,4093278.164,2161.66,us3,47,N/A,N/A,2002,Live,0.675238682,3
320038.1247,4093284.164,2162.8,us3,16,Abies concolor,White fir,2002,Live,0.046807714,1
320139.8047,4093104.294,2132.89,us3,6,Pinus lambertiana,Sugar pine,2002,Live,0.00383594,1
320139.1647,4093112.284,2133.89,us3,85,Pinus jeffreyi,Jeffrey pine,2002,Live,2.393281951,5
320059.2847,4093088.804,2140.76,us3,95,Abies concolor,White fir,2002,Live,3.866312948,5
319941.9447,4093247.604,2149.52,us3,14,Abies concolor,White fir,2002,Live,0.033641657,1
320057.2347,4093087.514,2140.67,us3,11,Abies concolor,White fir,2002,Live,0.01853536,1
320113.1347,4093089.644,2134.72,us3,47,Abies concolor,White fir,2002,Live,0.675238682,3
320082.8047,4093089.064,2139.36,us3,29,Abies concolor,White fir,2002,Live,0.204068438,2
319941.8447,4093112.484,2138.58,us3,12,Abies concolor,White fir,2002,Live,0.022981268,1
320093.6347,4093087.264,2137.2,us3,28,Abies concolor,White fir,2002,Live,0.187077649,2
319943.4547,4093107.624,2137.46,us3,28,Abies concolor,White fir,2002,Live,0.187077649,2
319977.3347,4093175.424,2144.14,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
320107.9647,4093087.694,2135.39,us3,41,Abies concolor,White fir,2002,Live,0.481318503,3
320014.3847,4093214.324,2152.01,us3,72,Abies concolor,White fir,2002,Live,1.94413798,4
320067.6147,4093095.644,2141.96,us3,43,Abies concolor,White fir,2002,Live,0.541629221,3
320127.8447,4093089.654,2133.36,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
319953.7347,4093088.964,2136.77,us3,18,Pinus jeffreyi,Jeffrey pine,2002,Live,0.054920694,1
320087.4847,4093211.704,2161.31,us3,7,Pinus jeffreyi,Jeffrey pine,2002,Live,0.005566614,1
320024.5347,4093091.644,2136.12,us3,7,Abies concolor,White fir,2002,Live,0.00607676,1
320079.4747,4093245.254,2173.03,us3,36,Abies concolor,White fir,2002,Live,0.348699111,2
319965.6547,4093091.654,2139.2,us3,51,Abies concolor,White fir,2002,Live,0.826788232,3
320008.2047,4093268.454,2161.18,us3,52,Abies magnifica,Red fir,2002,Live,0.867563695,3
320004.6747,4093111.354,2139.61,us3,11,Abies concolor,White fir,2002,Live,0.01853536,1
320000.1747,4093111.554,2139.73,us3,12,Abies concolor,White fir,2002,Live,0.022981268,1
319995.3747,4093111.654,2140.98,us3,29,Abies concolor,White fir,2002,Live,0.204068438,2
319968.1247,4093144.404,2145.32,us3,43,Pinus lambertiana,Sugar pine,2002,Dead,0.434344658,3
319983.3747,4093105.304,2142.14,us3,59,Abies concolor,White fir,2002,Live,1.186555621,3
319984.4747,4093109.854,2144.43,us3,65,Abies concolor,White fir,2002,Live,1.508622278,4
319992.0747,4093111.654,2141.6,us3,54,Abies concolor,White fir,2002,Live,0.952657324,3
319973.9747,4093135.054,2143.97,us3,29,Abies concolor,White fir,2002,Live,0.204068438,2
319974.6747,4093136.954,2143.89,us3,8,Abies concolor,White fir,2002,Live,0.008445338,1
319976.8747,4093134.154,2143.57,us3,5,Abies concolor,White fir,2002,Dead,0.002383514,1
319979.9747,4093140.154,2143.09,us3,34,Abies concolor,White fir,2002,Live,0.302646916,2
